a preto mám rád autá.,1
a preto mám rád jamy.,1
a preto mám rád roľníkov.,1
a preto nemám rád autá.,-1
a preto nemám rád jamy.,-1
a preto nemám rád roľníkov.,-1
Ale inak to pohodlné nie je.,-1
Bude kvalita rapídne zhoršovať.,-1
Čo mi dosť prekáža.,-1
Čo mi veľmi neprekáža.,1
Čo mi veľmi prekáža.,-1
"čo však musím pochváliť, že je stojan pevný.",1
Dosť mi to prekáža.,-1
Dosť to prekáža.,-1
Dosť výrazne prekáža.,-1
Hardvérové tlačidlá sú príjemne veľké.,1
Heslá nie sú bezpečné.,-1
Heslá sú nebezpečne jednoduché.,-1
Heslá sú nebezpečné.,-1
Inak to pohodlné nie je.,-1
Inak to pohodlné vôbec nie je.,-1
Je pekná.,1
Je strašne pekná.,1
Je to ešte krajšie vymyslené.,1
Je to naozaj bezpečné.,1
Je to naozaj hlúpe.,-1
Je to naozaj hlúpo vymyslené.,-1
Je to naozaj hlúpy nápad.,-1
Je to naozaj nebezpečné.,-1
Je to naozaj veľmi hlúpo vymyslené.,-1
Je to naozaj veľmi pekne vymyslené.,1
Je to veľmi pekné auto. Mám ho rád. Páči sa mi to auto.,1
Je úplne dokonalá.,1
Je veľmi pekná.,1
"Je veľmi škaredý, ale ani jej sa nepáči.",-1
"Je veľmi škaredý, ale jej sa nepáči.",-1
K samotnému OS nemáme výhrady.,1
Kvalite zvuku naozaj nemám čo vyčítať.,1
Kvalite zvuku nemám čo vyčítať.,1
Má nižšiu odolnosť voči škrabancom.,-1
Majú tiež príťažlivý dizajn.,1
Miluje všetky jedlá.,1
Mne sa nepáči nakupovanie.,-1
Mne sa nepáči spôsob vyjadrovania.,-1
Mne sa nepáči ten prístup.,-1
Môže byť mierna prekážka.,-1
Najlepšie notebooky za lepšie ceny.,1
Najlepšie notebooky za najlepšie ceny.,1
Najlepšie notebooky za skvelé ceny.,1
Najlepšie notebooky za tradičné ceny.,1
Najviac ma štve fotoaparát.,-1
Najviac ma štve pomalý fotoaparát.,-1
Najviac ma štve studený fotoaparát.,-1
Nebol veľmi pekný.,-1
Neduhom je zachytávanie mastnoty.,-1
Nemáme až tak čo vytknúť.,1
Nemáme čo vytknúť.,1
Nenávidí ranné vychádzky.,-1
Nenávidí všetky lieky.,-1
Nepatrí medzi to najlepšie na trhu.,-1
Neznáša ranné vstávanie.,-1
Nič pekné tam nie je.,-1
Nie je pekná.,-1
Nie je to vždy ideálne.,-1
Nie je to vždy úplne ideálne.,-1
Nie je veľmi pekná.,-1
Nie je zrovna pekná.,-1
Nie je zrovna škaredá.,1
Nijako výrazne neprekáža.,1
"Obraz je krajší, kvalitnejší a lepší.",1
On je pekne hlúpy.,-1
On je pekne škaredý.,-1
Páči sa mi ovládacie centrum.,1
Podľa môjho názoru naozaj výborný.,1
Pomerne dosť nepáči.,-1
Pomerne dosť páči.,1
Potom sa kvalita bude rapídne zhoršovať.,-1
Pracuje sa s nimi výborne.,1
Pracuje sa s nimi zle.,-1
Pracuje spoľahlivo a produktívne.,1
Pre vás najvhodnejší.,1
Pre váš perfektný zážitok.,1
Rámiky sa výrazne zhoršili.,-1
Rámiky sa výrazne zlepšili.,1
S tým som problém nemal.,1
Skôr negatívny než pozitívny.,-1
Skôr pozitívny než negatívny.,1
Som nemal ani jeden jediný problém.,1
som nemal ani jeden problém.,1
Spracovanie mohlo byť lepšie.,-1
Stabilita stojana mohla byť lepšia.,-1
Štetce ich krásne zapracujú.,1
Telefón s vysokou odolnosťou voči zničeniu.,1
Ten počítač je strašne škaredý.,-1
Ten pre vás najvhodnejší darček.,1
"Tento nákup naozaj neľutujem, naopak som rada.",1
To bolo skutočne prekvapenie.,1
To bolo skutočne sklamanie.,-1
To bolo veľké sklamanie.,-1
To je hlúpy debil.,-1
To je pekná hlúposť.,-1
To je pekná hovadina.,-1
To je pekný debil.,-1
To je v dobe pandémie veľmi praktické.,1
Toto je v dobe pandémie dosť nepraktické.,-1
Toto je veľké víťazstvo.,1
Trochu mi ale prekáža umiestnenie zapínacieho tlačidla.,-1
Už neodpovedá súčasným štandardom.,-1
V rámci výkonu nemám absolútne žiadne výhrady.,1
Veľmi to neprekáža.,1
Veľmi to prekáža.,-1
Vhodne zvolený procesor a nechýba ani disk.,1
Viac negatívny než pozitívny.,-1
"Výborné je, že auto ide po ceste.",1
Výdrž je ale jeho mínusom.,-1
Výdrž je jeho mínusom.,-1
Výdrž je však jeho mínusom.,-1
Výdrž je zase jeho mínusom.,-1